DATABASE_NAME,SCHEMA/PACKAGE NAME,OBJECT_NAME,OBJECT_TYPE,COMPLEXITY_LEVEL
HXE,SAMPLE_COE,AT_DIM_CUSTOMER,VIEW,NA
HXE,SAMPLE_COE,AT_DIM_MATERIAL,VIEW,NA
HXE,SAMPLE_COE,CV_CALENDAR_DIM,VIEW,NA
HXE,SAMPLE_COE,SAPMPLE_CALENDAR,VIEW,NA
HXE,SAMPLE_COE,TPM_JOB_STATUS,VIEW,NA
HXE,SAMPLE_COE,AT_DIM_MONTH,VIEW,NA
HXE,SAMPLE_COE,AV_FACT_PLAN,VIEW,NA
HXE,COE_PROC_FUNC,CALC_FP_TF,FUNCTION,NA
HXE,COE_PROC_FUNC,GET_KEYS_TF,FUNCTION,NA
HXE,COE_PROC_FUNC,add_surcharge,FUNCTION,NA
HXE,COE_PROC_FUNC,apply_discount,FUNCTION,NA
HXE,COE_PROC_FUNC,CONVERT_HRS,FUNCTION,NA
HXE,SAMPLE_COE,CALENDAR_DIM,TABLE,NA
HXE,SAMPLE_COE,DIM_CUSTOMER,TABLE,NA
HXE,SAMPLE_COE,DIM_MATERIAL,TABLE,NA
HXE,SAMPLE_COE,DIM_MONTH,TABLE,NA
HXE,SAMPLE_COE,FACT_PLAN,TABLE,NA
HXE,SAMPLE_COE,TPM_JOB_INFO,TABLE,NA
HXE,SAMPLE_COE,TPM_JOB_RUN_INFO,TABLE,NA
HXE,SAMPLE_COE,USER_PREFERENCES1,TABLE,NA
HXE,SAMPLE_COE,CAL_VIEW,VIEW,SIMPLE
HXE,SAMPLE_COE,JOB_RUN_INFO,VIEW,SIMPLE
HXE,SAMPLE_COE,COE_PROC_FUNC::CALCULATE_DATE,PROCEDURE,SIMPLE
HXE,SAMPLE_COE,COE_PROC_FUNC::SAMPLE_YEAR,PROCEDURE,MEDIUM
HXE,SAMPLE_COE,COE_PROC_FUNC::SAMPLE_YEAR_WITH_FOR_LOOP,PROCEDURE,MEDIUM
HXE,SAMPLE_COE,COE_PROC_FUNC::SIMPLE_PROCEDURE,PROCEDURE,SIMPLE
HXE,CHIRU_COE,DEMO_HANA,TABLE,NA
HXE,CHIRU_COE,DEMO_HANA_0107,TABLE,NA
HXE,CHIRU_COE,DEMO_HANA_BKP,TABLE,NA
HXE,CHIRU_COE,DEMO_HANA_TEMP,TABLE,NA
